locality,pin_codes
Colaba,400005
Cuffe Parade,400005
Nariman Point,400021
Churchgate,400020
Fort,400001
Marine Lines,400002 400020
Grant Road,400007
Malabar Hill,400006
Breach Candy,400026
Tardeo,400034
Byculla,400008 400027
Parel,400012
Lower Parel,400013
Worli,400018 400030
Prabhadevi,400025
Dadar West,400028
Dadar East,400014
Mahim,400016
Matunga,400019
Sion,400022
Wadala,400031
Bandra West,400050
Bandra East,400051
Khar West,400052
Santacruz West,400054
Santacruz East,400055
Vile Parle West,400056
Vile Parle East,400057
Juhu,400049
Versova,400061
Andheri West,400053 400058 400061
Andheri East,400059 400069 400093
Jogeshwari West,400102
Jogeshwari East,400060
Goregaon West,400062 400104
Goregaon East,400063
Malad West,400064
Malad East,400097
Kandivali West,400067
Kandivali East,400101
Borivali West,400092
Borivali East,400066
Dahisar,400068
Powai,400076
Chandivali,400072
Saki Naka,400072
Kurla,400070
Chembur,400071 400074 400089
Ghatkopar West,400086
Ghatkopar East,400075 400077
Vikhroli,400079 400083
Bhandup,400078
Mulund,400080 400081
